company_name,plan_name,coverage_percentage,customer_support,email
Star Health,Gold,70,9943461408,starhealth_gold@insurance.com
Star Health,Silver,90,6481744802,starhealth_silver@insurance.com
Care Health,Premium,80,5686547741,carehealth_premium@insurance.com
Care Health,Basic,85,0682851277,carehealth_basic@insurance.com
Niva Bupa,Health Secure,95,9081093857,nivabupa_healthsecure@insurance.com
ICICI Lombard,Complete Care,90,8528428531,icicilombard_completecare@insurance.com
HDFC ERGO,Optima,80,7647651341,hdfcergo_optima@insurance.com
Bajaj Allianz,Health Guard,85,4270223464,bajajallianz_healthguard@insurance.com
ManipalCigna,ProHealth,70,2121189749,manipalcigna_prohealth@insurance.com
Aditya Birla Health,Active One,95,7091608093,adityabirlahealth_activeone@insurance.com
